col1,FieldID,ra,dec,mtot_all,ntns,mtot,sfrtot,ngal,lum,BGLT_orig,mindist,selected
12216,12217,27.21951,27.25203,1.79088811136E11,0.0,8.2594414592E10,1.3684829473495483,3.0,1.6013403314734073E-4,false,7.4242,true
12221,12222,36.0,27.25203,3.03538132352E12,0.40732577432958966,1.888676872192E12,98.448974609375,30.0,3.575700947515663E-5,false,70.1318,true
12267,12268,116.78049,27.25203,7.06152829568E11,0.40732577432958966,6.8678582272E11,47.65838623046875,22.0,4.1039016186263516E-5,false,64.3074,true
12269,12270,120.29269,27.25203,1.009295655936E12,1.221977322988769,8.31439372288E11,48.27749252319336,22.0,3.6368918546777785E-5,false,64.1998,true
12339,12340,243.21951,27.25203,9.46655393792E11,0.40732577432958966,1.032101691392E12,44.36680221557617,24.0,2.2071433666815304E-5,false,93.7562,true
12402,12403,353.85367,27.25203,2.8963529152E12,0.0,8.9713573888E11,37.28688430786133,36.0,2.4167802577437537E-5,false,101.391,true
12403,12404,355.60977,27.25203,4.20285070016E12,0.40732577432958966,2.247610597376E12,98.991943359375,54.0,5.147398397386911E-5,false,65.1628,true
12404,12405,357.36584,27.25203,2.126938847744E12,1.221977322988769,1.368256544768E12,56.66351318359375,29.0,3.2758867697366764E-5,false,90.7821,true
12538,12539,235.24751,28.82588,1.436705531648E12,0.0,1.107976257536E12,66.11811828613281,25.0,2.643741785555399E-5,false,64.2688,true
12607,12608,358.2178,28.82588,1.826589239808E12,2.0499117302777132,1.061790416896E12,49.489925384521484,16.0,3.696777268528117E-5,false,96.3829,true
15958,16012,204.72429,-30.27364,3.43401465216E11,0.7306665210888537,1.89227384832E11,10.638337135314941,7.0,8.351636391684752E-4,true,4.7771,true
15959,16013,12.41192,-25.88622,0.0,0.0,3.6238721024E11,19.46198272705078,9.0,0.0046492558903086295,true,3.5279,true
15961,16015,13.72283,-37.68438,8.9606841728E10,0.0,1.7514698752E10,2.073225736618042,2.0,8.330594026272111E-7,true,135.1827,true
15962,16016,3.72333,-39.19663,1.5518506752E10,0.0,3.3558351872E10,5.017825126647949,4.0,4.052501934811658E-6,true,113.4985,true
